model,pk,fields_public_id,fields_created,fields_updated,fields_product,fields_author,fields_rating,fields_comment,fields_edited
core_reviews.review,1,1335c84a-33d9-40c1-9fd8-bfdd0af6d838,2024-08-31T12:38:24.693Z,2024-08-31T12:38:24.693Z,2,1,0,I will have a purchase during the 5 days,False
core_reviews.review,3,a56eaa79-ca4d-4b33-bf47-79c615ec08d0,2024-09-01T10:33:46.865Z,2024-09-01T10:33:46.866Z,2,3,5,The best thin i ve ever seen.,False
core_reviews.review,4,2e2e9499-7455-4983-8e98-72e1fdb71bd4,2024-09-01T10:55:25.963Z,2024-09-01T10:55:25.963Z,6,4,5,Great product!,False
core_reviews.review,5,f742a023-c2d6-4689-b1df-9f45eafadef9,2024-09-01T10:55:25.964Z,2024-09-01T10:55:25.964Z,7,5,4,"Very good, but a bit pricey.",False
core_reviews.review,6,0c424704-f6e9-428a-9de6-bbce43f658a2,2024-09-01T11:10:30.105Z,2024-09-01T11:10:30.105Z,50,46,4,"Four crime down former majority. Senior time finish staff product. Summer official no age hand defense.
Which break Congress argue foot seek somebody. Would save southern green find know.",False
core_reviews.review,7,0d0d41df-cc2b-4757-9ebc-1bdcf18a851f,2024-09-01T11:10:30.106Z,2024-09-01T11:10:30.106Z,44,53,3,President human young hair. Election car drop campaign allow.,False
core_reviews.review,8,195786f7-f622-43c4-bf4d-f9dd88fce171,2024-09-01T11:10:30.107Z,2024-09-01T11:10:30.107Z,19,54,1,"It argue total seek brother. Along race prevent arrive town argue reason.
Hot raise window school send. Wall would evidence.
Main rock none purpose. Stay begin size.
There bill seek admit.",False
core_reviews.review,9,9d181cf1-3469-48ed-9980-82fb8e93cd31,2024-09-01T11:10:30.107Z,2024-09-01T11:10:30.107Z,17,12,4,Myself moment time leg. Say personal military ball of even professor. Watch low son partner scientist describe go really.,False
core_reviews.review,10,f342e052-fcd1-4db8-83be-b9ac8411ff98,2024-09-01T11:10:30.108Z,2024-09-01T11:10:30.108Z,16,7,5,"Although scientist still table simple. Experience draw newspaper.
Benefit letter tax investment score include. Accept contain movement particular.",False
core_reviews.review,11,00a484a9-bdff-4d88-a33f-04af4dab2d29,2024-09-01T11:10:30.109Z,2024-09-01T11:10:30.109Z,46,12,2,"Against man city thus. Dinner sound true indeed mean. Theory good provide site.
Worker act production into hundred. Meeting run position maintain.",False
core_reviews.review,12,dabc667a-06b0-47c9-9f1f-ead641dcb38e,2024-09-01T11:10:30.110Z,2024-09-01T11:10:30.110Z,54,38,5,Election fire either on religious worker. Perform cause present these. Step money group room.,False
core_reviews.review,13,314549be-a584-4d33-b19c-79bde1139e58,2024-09-01T11:10:30.110Z,2024-09-01T11:10:30.110Z,24,19,1,"He all condition article against. Well southern music include kind.
Determine several yeah detail they. Address me one popular.
Development few relate share. Class inside use thing second.",False
core_reviews.review,14,977b03a4-e957-4a13-becf-df7e4d86c849,2024-09-01T11:10:30.111Z,2024-09-01T11:10:30.111Z,37,21,5,"Range according memory. Father good everything dream wonder often future.
Majority power guy along rate mind. Again huge trouble short room movement mind fall. Budget nature car success hold science.",False
core_reviews.review,15,6bd0bdd8-e578-4c7d-bcb1-3f9061fc67dd,2024-09-01T11:10:30.112Z,2024-09-01T11:10:30.112Z,45,54,5,"Explain series notice increase. Science Mrs tough.
Recent month today free would. Central case available employee leader several grow. Work tree assume serious fight design. Agent serve term hour.",False
core_reviews.review,16,1a734011-6e7f-4f8e-824e-087a43554c69,2024-09-01T11:10:30.113Z,2024-09-01T11:10:30.113Z,23,40,3,"Wish those suddenly area. Management five vote finish. She cup choose matter mouth.
World former between nation. Plan today summer chance Mrs blood provide always. Employee organization prove.",False
core_reviews.review,17,63e08559-c809-4855-b435-522cce481873,2024-09-01T11:10:30.113Z,2024-09-01T11:10:30.113Z,21,40,2,"Area which score western land. Show realize market read culture. Lot themselves family majority cause wife structure.
Where light society somebody benefit. Who sell even would fund.",False
